"cow","year","X","life_exp","pop","enrollment_rate","income_share_highest_10","unemployment","urban_growth","gdp_pcap","v2x_polyarchy","tenure","tenure_lagged","leader_name","gwf_regimetype","gwf_duration","gwf_fail","current_dollars_usaid","constant_dollars_usaid","threat","imposition","multisender","targeted_narrow","institution","sanction_id","UCD_campaign","protest_mmd","cnts_destabilisation","cnts_campaign_narrow","cnts_campaign_all","gdp_pcap_l","threat_l1","multisender_l1","imposition_l1","imposition_l2","imposition_l3","imposition_l5","v2x_polyarchy_l","tenure_l","gwf_duration_l","cutoff_1991","autoc_cutoff","country","region","usaid_percapita","imposition_binary","sanction_id_binary","multisender_binary","targeted_narrow_binary","imposition_l1_binary","imposition_l2_binary","imposition_l3_binary","imposition_l4_binary","demographic_index","Mean_Frequency_UN","flow2","us_aid_sum","firststage_fitted"
2,1960,8330,0,0,0,0,0,0,20768,0.65,7,8,"Eisenhower","",0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"United States","North America",0,0,0,0,0,0,0,0,0,-4.72716015070874,0,0,0,0.500000000000011
2,1961,8331,69.7707317073171,19.0121882557434,0,0,0,2.20057087771013,20870,0.666,0,1,"Kennedy","",0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,9.94116910101372,0,0,0,0,0,0,0.65,7,0,0,0,"United States","North America",0,0,0,0,0,0,0,0,0,0.442265050253199,0,0,0,0.500000000000011
2,1962,8332,70.2707317073171,19.0287655561164,0,0,0,2.07649430194512,21754,0.672,1,2,"Kennedy","",0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,9.94606847922782,0,0,0,0,0,0,0.666,0,0,0,0,"United States","North America",0,0,0,0,0,0,0,0,0,0.472540427662419,0,0,0,0.500000000000011
2,1963,8333,70.119512195122,19.0441455296981,0,27.3,0,1.97055936295003,22334,0.683,0,1,"Johnson","",0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,9.98755338733926,0,0,0,0,0,0,0.672,1,0,0,0,"United States","North America",0,0,0,0,0,0,0,0,0,1.43182703326783,0,0,0,0.500000000000011
2,1964,8334,69.9170731707317,19.0585371773144,0,27.8,0,1.91343710832917,23264,0.685,1,2,"Johnson","",0,0,0,0,0,1,0,0,0,1,11,0,11,0,1,10.0138659077535,0,0,0,0,0,0,0.683,0,0,0,0,"United States","North America",0,1,1,0,0,0,0,0,0,1.44788100420841,0,0,0,0.500000000000011
2,1965,8335,70.1658536585366,19.0724276378655,0,27.2,0,1.76765328716456,24400,0.684,2,3,"Johnson","",0,0,0,0,0,0,0,0,0,0,11,0,17,1,1,10.0546628101818,0,0,1,0,0,0,0.685,1,0,0,0,"United States","North America",0,0,0,0,0,1,0,0,0,1.44888156337345,0,0,0,0.500000000000011
2,1966,8336,70.2146341463415,19.0849293543211,0,27.2,0,1.66555870446276,25657,0.705,3,4,"Johnson","",0,0,0,0,0,0,0,0,0,0,4,0,14,0,1,10.1023388211173,0,0,0,1,1,0,0.684,2,0,0,0,"United States","North America",0,0,0,0,0,0,1,0,0,1.45993940378715,0,0,0,0.500000000000011
2,1967,8337,70.2121951219512,19.0964782862281,0,26.8,0,1.59282042208749,25970,0.709,4,5,"Johnson","",0,0,0,0,1,1,1,1,0,1,18,0,1,0,1,10.1525721076078,0,0,0,0,0,0,0.705,3,0,0,0,"United States","North America",0,1,1,1,1,0,0,1,0,1.45279388112358,0,0,0,0.500000000000011
2,1968,8338,70.5609756097561,19.1073670983004,0,26.5,0,1.49576263761729,26891,0.71,5,6,"Johnson","",0,0,0,0,0,0,0,0,0,0,15,0,1,1,1,10.1646976897164,1,1,1,0,0,0,0.709,4,0,0,0,"United States","North America",0,0,0,0,0,1,0,0,1,1.46408763794279,0,0,0,0.500000000000011
2,1969,8339,69.9512195121951,19.1173517087358,0,26.3,0,1.46799272604928,27417,0.695,0,1,"Nixon","",0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,10.1995473089889,0,0,0,1,1,1,0.71,5,0,0,0,"United States","North America",0,0,0,0,0,0,1,0,0,1.4375078326966,0,0,0,0.500000000000011
